一	one, floor, ceiling (イチ)
二	two (ニ)
三	three (サン)
四	four (シ)
五	five (ゴ)
六	six (ロク)
七	seven, diced (シチ)
八	eight, all-encompassing (はち)
九	nine, baseball (ク、キュウ、ここの)
十	ten, needle (ジュウ)
口	mouth, opening (くち)
日	day, sun, tongue wagging in mouth (ニチ、ジツ、ひ)
月	month, moon, flesh, part of the body (ツキ、げつ)
田	rice field, brains (デン、た)
目	eye (め、ボク)
⼁	walking stick, cane (ぼう)
㇒,⼂	drop (てん)
自	oneself, nose (ジ、みずか.ら)
白	white, white bird, white dove (ハク、びゃく、しろ.い)
丸	round, fat man (ガん、まる.い)
寸	measurement, glue (スン、す、みき)
卜	divining rod, wand (ボク、うらな.う)
㇒㇏	animal legs
儿	human legs (ひとあし)
几	wind, weather vane (キ、つくえ)
勹	bound up (ホウ、つつ.む)
䒑	horns
貝	shellfish, oyster, clam (バイ、かい)
